English,Hindi
pop,पॉप
popular,लोकप्रिय
population,आबादी
porch,बरामदा
port,बंदरगाह
portion,हिस्से
portrait,चित्र
portray,चित्रकला
pose,खड़ा करना
position,स्थान
positive,सकारात्मक
possess,धारण करना
possibility,संभावना
possible,संभव के
possibly,संभवत:
post,पद
pot,मटका
potato,आलू
potential,संभावना
potentially,संभावित
pound,पाउंड
pour,बहना
poverty,गरीबी
powder,पाउडर
power,शक्ति
powerful,ताकतवर
practical,व्यावहारिक
practice,अभ्यास
pray,प्रार्थना करना
prayer,प्रार्थना
precisely,यकीनन
predict,भविष्यवाणी करना
prefer,वरीयता देना
preference,पसंद
pregnancy,गर्भावस्था
pregnant,गर्भवती
preparation,तैयारी
prepare,तैयार
prescription,नुस्खा
presence,उपस्थिति
present,वर्तमान
presentation,प्रस्तुतीकरण
preserve,रक्षित
president,राष्ट्रपति
presidential,अध्यक्षीय
press,दबाएँ
pressure,दबाव
pretend,दिखावा करना
pretty,सुंदर
prevent,रोकना
previous,पिछला
previously,इससे पहले
price,कीमत
pride,गौरव
priest,पुजारी
primarily,प्रमुख रूप से
primary,मुख्य
prime,प्रधान
principal,प्रधानाचार्य
principle,सिद्धांत
print,प्रिंट
prior,पूर्व
priority,वरीयता
prison,कारागार
prisoner,बंदी
privacy,गोपनीयता
private,निजी
probably,संभवत
problem,संकट
procedure,प्रक्रिया
proceed,आगे बढ़ना
process,प्रक्रिया
produce,उत्पाद
producer,निर्माता
product,उत्पाद
production,उत्पादन
profession,पेशा
professional,पेशेवर
professor,प्रोफ़ेसर
profile,प्रोफ़ाइल
profit,फायदा
program,कार्यक्रम
progress,प्रगति
project,परियोजना
prominent,प्रमुख
promise,पक्का वादा
promote,को बढ़ावा देना
prompt,तत्पर
proof,सबूत
proper,उचित
properly,अच्छी तरह से
property,संपत्ति
proportion,अनुपात
proposal,प्रस्ताव
propose,प्रस्ताव
proposed,प्रस्तावित
prosecutor,अभियोक्ता
prospect,आशा
protect,रक्षा करना
protection,संरक्षण
protein,प्रोटीन
protest,विरोध
proud,गर्व
prove,सिद्ध करना
provide,प्रदान करना
provider,प्रदाता
province,प्रांत
provision,प्रावधान
psychological,मनोवैज्ञानिक
psychologist,मनोविज्ञानी
psychology,मनोविज्ञान
public,जनता
publication,प्रकाशन
publicly,सार्वजनिक रूप
publish,प्रकाशित करना
publisher,प्रकाशक
pull,खींचना
punishment,सज़ा
purchase,खरीद फरोख्त
pure,शुद्ध
purpose,उद्देश्य
pursue,पाने की कोशिश करना
push,धकेलना
put,रखना
qualify,अर्हता
quality,गुणवत्ता
quarter,त्रिमास
quarterback,क्वार्टरबैक
question,प्रश्न
quick,झटपट
quickly,तुरंत
quiet,चुप
quietly,चुपचाप
quit,छोड़ना
quite,पूर्णतया
quote,उद्धरण
race,जाति
racial,जातीय
radical,मौलिक
radio,रेडियो
rail,रेल
rain,वर्षा
raise,उठाना
range,सीमा
rank,पद
rapid,तेज़
rapidly,तेज़ी से
rare,दुर्लभ
rarely,कभी–कभार
rate,भाव
rather,बल्कि
rating,रेटिंग
ratio,अनुपात
raw,कच्चा
reach,पहुंच
react,प्रतिक्रिया
reaction,प्रतिक्रिया
read,पढ़ना
reader,रीडर
reading,पढ़ना
ready,तैयार
real,वास्तविक
reality,यथार्थ बात
realize,समझना
really,वास्तव में
reason,कारण
reasonable,तर्कसंगत
recall,याद करना
receive,प्राप्त करना
recent,हाल ही का
recently,हाल ही में
recipe,विधि
recognition,मान्यता
recognize,पहचानना
recommend,अनुशंसा करना
recommendation,सिफ़ारिश करना
record,अभिलेख
recording,रिकॉर्डिंग
recover,वापस पाना
recovery,स्वास्थ्य लाभ
recruit,रंगरूट
red,लाल
reduce,कम करना
reduction,कमी
refer,उद्घृत करना
reference,संदर्भ
reflect,प्रतिबिंबित होना
reflection,प्रतिबिंब
reform,सुधार
refugee,शरणार्थी
refuse,इनकार
regard,संबद्ध
regarding,संबंधित
regardless,ध्यान दिए बिना
regime,प्रशासन
region,क्षेत्र
regional,क्षेत्रीय
register,रजिस्टर करें
regular,नियमित
regularly,नियमित तौर पर
regulate,विनियमित
regulation,विनियमन
reinforce,सुदृढ़
reject,अस्वीकार
relate,संबद्ध करना
relation,संबंध
relationship,रिश्ता
relative,रिश्तेदार
relatively,अपेक्षाकृत
relax,आराम करना
release,रिहाई
relevant,से मिलता जुलता
relief,राहत
religion,धर्म
religious,धार्मिक
rely,भरोसा करना
remain,अवशेष
remaining,बचा हुआ
remarkable,उत्कृष्ट
remember,याद करना
remind,याद दिलाना
remote,दूर
remove,हटाना
repeat,दोहराना
repeatedly,बार बार
replace,बदलने के
reply,जवाब दे दो
report,रिपोर्ट good
reporter,रिपोर्टर
represent,प्रतिनिधित्व करना
representation,प्रतिनिधित्व
representative,प्रतिनिधि
Republican,रिपब्लिकन
reputation,प्रतिष्ठा
request,अनुरोध
require,ज़रूरत होना
requirement,मांग
research,अनुसंधान
researcher,शोधकर्ता
resemble,समान होना
reservation,आरक्षण
resident,निवासी
resist,विरोध
resistance,प्रतिरोध
resolution,संकल्प
resolve,हल करना
resort,सहारा लेना
resource,संसाधन
respect,आदर
respond,जवाब देना
respondent,प्रतिवादी
response,जवाब
responsibility,ज़िम्मेदारी
responsible,उत्तरदायी
rest,विश्राम
restaurant,रेस्टोरेंट
restore,पुनर्स्थापित करना
restriction,बंधन
result,नतीजा
retain,बनाए रखना
retire,रिटायर
retirement,निवृत्ति
return,वापसी
reveal,प्रकट करना
revenue,आय
review,समीक्षा
revolution,क्रांति
rhythm,ताल
rice,चावल
rich,धनी
rid,छुटकारा पाना
ride,सवारी
rifle,राइफल
right,सही
ring,अंगूठी
rise,वृद्धि
risk,जोखिम
river,नदी
road,सड़क
rock,चट्टान
role,भूमिका
roll,घूमना
romantic,प्रेम प्रसंगयुक्त
roof,छत
room,कमरा
root,जड़
rope,रस्सी
rose,गुलाब
rough,खुरदुरा
roughly,अंदाज़न
round,गोल
route,रास्ता
routine,रूटीन
row,पंक्ति
rub,रगड़ना
rule,नियम
run,दौड़ना
running,दौड़ना
rural,ग्रामीण
rush,जल्दबाज़ी करना
Russian,रूसी
sacred,पवित्र
sad,उदास
safe,सुरक्षित
safety,सुरक्षा
sake,खातिर
salad,सलाद
salary,वेतन
sale,बिक्री
sales,बिक्री
salt,नमक
same,वही
sample,नमूना
sanction,प्रतिबंध
sand,रेत
satellite,उपग्रह
satisfaction,संतुष्टि
satisfy,संतुष्ट करना
sauce,चटनी
save,सहेजें
saving,सहेजा जा रहा है
say,कहो
scale,पैमाना
scandal,कांड
scared,डरा हुआ
scenario,परिदृश्य
scene,दृश्य
schedule,अनुसूची
scheme,योजना
scholar,पंडित
scholarship,छात्रवृत्ति
school,स्कूल
science,विज्ञान
scientific,वैज्ञानिक
scientist,वैज्ञानिक
scope,दायरा
score,अंक
scream,चीख
screen,स्क्रीन
script,लिखी हुई कहानी
sea,समुद्र
search,तलाशी
season,मौसम
seat,सीट
second,दूसरा
secret,गुप्त
secretary,सचिव
section,खंड
sector,क्षेत्र
secure,सुरक्षित
security,सुरक्षा
see,देखना
seed,बीज
seek,मांगना
seem,प्रतीत होना
segment,खंड
seize,को जब्त
select,चुनते हैं
selection,चयन
self,खुद
sell,बेचना
Senate,प्रबंधकारिणी समिति
senator,सीनेटर
send,भेजना
senior,वरिष्ठ
sense,विवेक
sensitive,संवेदनशील
sentence,वाक्य
separate,अलग
sequence,क्रम
series,श्रृंखला
serious,गंभीर
seriously,गंभीरता से
serve,सेवा कर
service,सर्विस
session,सत्र
set,समूह
setting,स्थापना
settle,निपटारा करना
settlement,समझौता
seven,सात
several,कई
severe,गंभीर
sex,लिंग
sexual,यौन
shade,छाया
shadow,साया
shake,हिलाना
shall,करेगा
shape,आकार
share,शेयर करना
sharp,तीखा
she,वह
sheet,चादर
shelf,दराज
shell,सीप
shelter,आश्रय
shift,खिसक जाना
shine,चमक
ship,समुंद्री जहाज
shirt,शर्ट
shit,मल
shock,झटका
shoe,जूता
shoot,गोली मार
shooting,शूटिंग
shop,दुकान
shopping,खरीदारी
shore,किनारा
short,कम
shortly,कुछ ही देर में
shot,गोली मारना
should,चाहिए
shoulder,कंधा
shout,चिल्लाना
show,प्रदर्शन
shower,बौछार
shrug,कंधे उचकाने की क्रिया
shut,बंद करना
sick,बीमार
side,पक्ष
sigh,साँस
sight,दृश्य
sign,संकेत
signal,संकेत
significance,महत्व
significant,महत्वपूर्ण
significantly,काफी
silence,शांति
silent,चुपचाप
silver,चांदी
similar,एक जैसा
similarly,उसी प्रकार
simple,सरल
simply,केवल
sin,पाप
since,जबसे
sing,गाओ
singer,गायक
single,एक
sink,डूबना
sir,महोदय
sister,बहन
sit,बैठिये
site,साइट
situation,परिस्थिति
six,छह
size,आकार
ski,स्की
skill,कौशल
skin,त्वचा
sky,आकाश
slave,दास
sleep,सोना
slice,टुकड़ा
slide,फिसल पट्टी
slight,थोड़ा
slightly,थोड़ा
slip,पर्ची
slow,धीमा
slowly,धीरे से
small,छोटा
smart,होशियार
smell,महक
smile,मुस्कुराओ
smoke,धुआँ
smooth,चिकना
snap,चटकाना
snow,बर्फ
so,इसलिए
so-called,तथाकथित
soccer,फ़ुटबॉल
social,सामाजिक
society,समाज
soft,मुलायम
software,सॉफ़्टवेयर
soil,धरती
solar,सौर
soldier,फोजी
solid,ठोस
solution,समाधान
solve,हल करना
some,कुछ
somebody,कोई
somehow,किसी न किसी तरह
someone,कोई तो
something,कुछ
sometimes,कभी–कभी
somewhat,कुछ हद तक
somewhere,कहीं
son,बेटा
song,गाना
soon,जल्द ही
sophisticated,परिष्कृत
sorry,माफ़ करना
sort,क्रम से लगाना
soul,आत्मा
sound,ध्वनि
soup,शोरबा
source,स्रोत
south,दक्षिण
southern,दक्षिण
Soviet,सोवियत
space,अंतरिक्ष
Spanish,स्पैनिश
speak,बोलना
speaker,वक्ता
special,विशेष
specialist,SPECIALIST
species,प्रजातियाँ
specific,विशिष्ट
specifically,विशेष रूप से
speech,भाषण
speed,रफ़्तार
spend,खर्च करते हैं
spending,खर्च
spin,घुमाना
spirit,आत्मा
spiritual,आध्यात्मिक
split,विभाजित करना
spokesman,प्रवक्ता
sport,खेल
spot,स्थान
spread,फैला हुआ
spring,वसंत
square,वर्ग
squeeze,निचोड़ना
stability,स्थिरता
stable,स्थिर
staff,कर्मचारी
stage,मंच
stair,सीढ़ी
stake,दांव लगाना
stand,स्टैंड
standard,मानक
standing,खड़ा है
star,सितारा
stare,एकटक देखना
start,प्रारंभ
state,राज्य
statement,बयान
station,स्टेशन
statistics,आंकड़े
status,दर्जा
stay,रहना
steady,नियमित
steal,चुराना
steel,इस्पात
step,कदम
stick,छड़ी
still,फिर भी
stir,हलचल
stock,भण्डार
stomach,पेट
stone,पथरी
stop,विराम
storage,भंडारण
store,दुकान
storm,आंधी
story,कहानी
straight,सीधा
strange,अनोखा
stranger,अजनबी
strategic,सामरिक
strategy,रणनीति
stream,धारा
street,सड़क
strength,ताकत
strengthen,को मजबूत
stress,तनाव
stretch,फैलाव
strike,धरना
string,डोरी
strip,पट्टी
stroke,आघात
strong,बलवान
strongly,दृढ़ता से
structure,संरचना
struggle,लड़ाई
student,छात्र
studio,स्टूडियो
study,अध्ययन
stuff,सामग्री
stupid,बेवकूफ
style,शैली
subject,विषय
submit,प्रस्तुत
subsequent,बाद का
substance,पदार्थ
substantial,संतोषजनक
succeed,सफल होना
success,सफलता
successful,सफल
successfully,सफलतापूर्वक
such,ऐसा
sudden,अचानक
suddenly,अचानक से
sue,मुक़दमा चलाना
suffer,भुगतना
sufficient,पर्याप्त
sugar,चीनी
suggest,सुझाव देना
suggestion,सुझाव
suicide,आत्मघाती
suit,सुविधाजनक होना
summer,गर्मी
summit,बैठक
sun,रवि
super,उत्तम
supply,आपूर्ति
support,सहयोग
supporter,समर्थक
suppose,मान लीजिए
supposed,कल्पित
Supreme,सुप्रीम
sure,ज़रूर
surely,निश्चित रूप से
surface,सतह
surgery,शल्य चिकित्सा
surprise,आश्चर्य
surprised,आश्चर्य चकित
surprising,चौंका देने वाला
surprisingly,हैरानी की बात है
surround,चारों ओर से घेरना
survey,सर्वेक्षण
survival,जीवित रहना
survive,जीवित बचना
survivor,उत्तरजीवी
suspect,संदिग्ध व्यक्ति
sustain,बनाए रखना
swear,कसम खाता
sweep,झाड़ू लगा दो
sweet,मीठा
swim,तैरना
swing,झूला
switch,बदलना
symbol,"चिन्ह, प्रतीक"
symptom,लक्षण
system,व्यवस्था
table,मेज़
tablespoon,बड़ा चमचा
tactic,रणनीति
tail,पूंछ
take,लेना
tale,कहानी
talent,प्रतिभा
talk,बात करना
tall,लंबा
tank,टैंक
tap,नल
tape,फीता
target,लक्ष्य
task,काम
taste,स्वाद
tax,कर
taxpayer,करदाता
tea,चाय
teach,सिखाना
teacher,शिक्षक
teaching,शिक्षण
team,टीम
tear,आँसू
teaspoon,छोटी चम्मच
technical,तकनीकी
technique,तकनीक
technology,तकनीकी
teen,किशोर
teenager,किशोर
telephone,टेलीफ़ोन
telescope,दूरबीन
television,टेलीविजन
tell,बताना
temperature,तापमान
temporary,अस्थायी
ten,दस
tend,प्रवृत्त होना
tendency,प्रवृत्ति
tennis,टेनिस
tension,तनाव
tent,तंबू
term,शर्त
terms,शर्तें
terrible,भयानक
territory,क्षेत्र
terror,आतंक
terrorism,आतंक
terrorist,आतंकवादी
test,परीक्षण
testify,गवाही देना
testimony,गवाही
testing,परिक्षण
text,मूलपाठ
than,बजाय
thank,धन्यवाद देना
thanks,धन्यवाद
that,वह
the,
theater,थिएटर
their,उनका
them,उन्हें
theme,थीम
themselves,खुद
then,फिर
theory,लिखित
therapy,चिकित्सा
there,वहां
therefore,इसलिए
these,इन
they,वे
thick,मोटा
thin,पतला
thing,चीज़
think,सोच
thinking,विचार
third,तीसरा
thirty,तीस
this,यह
those,वे
though,यद्यपि
thought,सोच
thousand,हज़ार
threat,धमकी
threaten,धमकी देना
three,तीन
throat,गला
through,के माध्यम से
throughout,हर जगह
throw,फेंकना
thus,इस प्रकार
ticket,टिकट
tie,बाँधना
tight,तंग
time,समय
tiny,बहुत छोटा
tip,बख्शीश
tire,थका देना
tired,थका हुआ
tissue,ऊतक
title,शीर्षक
to,प्रति
tobacco,तंबाकू
today,आज
toe,पैर की अंगुली
together,साथ में
tomato,टमाटर
tomorrow,कल
tone,सुर
tongue,जुबान
tonight,आज रात
too,बहुत
tool,औजार
tooth,दाँत
top,ऊपर
topic,विषय
toss,टॉस
total,कुल
totally,पूरी तरह से
touch,स्पर्श
tough,कठोर
tour,यात्रा
tourist,पर्यटक
tournament,टूर्नामेंट
toward,की ओर
towards,की ओर
tower,मीनार
town,नगर
toy,खिलौने
trace,पता लगाना
track,संकरा रास्ता
trade,व्यापार
tradition,परंपरा
traditional,परंपरागत
traffic,ट्रैफ़िक
tragedy,त्रासदी
trail,पगडंडी
train,रेल गाडी
training,प्रशिक्षण
transfer,स्थानांतरण करना
transform,परिवर्तन
transformation,परिवर्तन
transition,संक्रमण
translate,अनुवाद करना
transportation,परिवहन
travel,यात्रा करना
treat,व्यवहार करना
treatment,इलाज
treaty,संधि
tree,पेड़
tremendous,अद्भुत
trend,रुझान
trial,परीक्षण
tribe,जनजाति
trick,छल
trip,यात्रा
troop,सेना
trouble,मुसीबत
truck,ट्रक
TRUE,सच
truly,सही मायने में
trust,विश्वास
truth,सत्य
try,प्रयत्न
tube,ट्यूब
tunnel,सुरंग
turn,मोड़
TV,टीवी
twelve,बारह
twenty,बीस
twice,दो बार
twin,जुड़वां
two,दो
type,प्रकार
typical,ठेठ
typically,आम तौर पर
ugly,कुरूप
ultimate,परम
ultimately,अंत में
unable,असमर्थ
uncle,चाचा
under,नीचे
undergo,गुज़रना
understand,समझना
understanding,समझ
unfortunately,दुर्भाग्य से
uniform,वर्दी
union,संघ
unique,अद्वितीय
unit,इकाई
United,यूनाइटेड
universal,सार्वभौमिक
universe,ब्रम्हांड
university,विश्वविद्यालय
unknown,अनजान
unless,जब तक
unlike,भिन्न
unlikely,संभावना नहीं
until,तक
unusual,असामान्य
up,यूपी
upon,ऊपर
upper,अपर
urban,शहरी
urge,विनती करना
us,हम
use,उपयोग
used,उपयोग किया गया
useful,उपयोगी
user,उपयोगकर्ता
usual,सामान्य
usually,आमतौर पर
utility,उपयोगिता
vacation,छुट्टी
valley,घाटी
valuable,कीमती
value,मूल्य
variable,चर
variation,उतार–चढ़ाव
variety,विविधता
various,विभिन्न
vary,अलग होना
vast,बहुत बड़ा
vegetable,सबजी
vehicle,वाहन
venture,जोखिम उठाना
version,संस्करण
versus,बनाम
very,बहुत
vessel,पतीला
veteran,अनुभवी व्यक्ति
via,के जरिए
victim,पीड़ित
victory,विजय
video,वीडियो
view,दृश्य
viewer,दर्शक
village,गाँव rajnagar
violate,का उल्लंघन
violation,उल्लंघन
violence,हिंसा
violent,हिंसक
virtually,आभासी रूप से
virtue,गुण
virus,वाइरस
visible,दृश्यमान
vision,नज़र
visit,मुलाकात
visitor,आगंतुक
visual,तस्वीर
vital,महत्वपूर्ण
voice,आवाज़
volume,मात्रा
volunteer,स्वयंसेवी
vote,वोट
voter,मतदाता
vs,बनाम
vulnerable,चपेट में
wage,वेतन
wait,रुको
wake,जागना
walk,टहल लो
wall,दीवार
wander,घूमना
want,चाहते हैं
war,युद्ध
warm,गरम
warn,चेतावनी देना
warning,चेतावनी
wash,धोना
waste,बरबाद करना
watch,घड़ी
water,पानी
wave,हिलाना
way,मार्ग
we,हम
weak,कमज़ोर
wealth,संपत्ति
wealthy,धनवान
weapon,हथियार
wear,घिसाव
weather,मौसम
wedding,शादी
week,सप्ताह
weekend,सप्ताहांत
weekly,साप्ताहिक
weigh,तौलना
weight,वजन
welcome,स्वागत हे
welfare,कल्याण
well,कुंआ
west,पश्चिम
western,वेस्टर्न
wet,गीला
what,क्या
whatever,जो भी हो
wheel,चक्र
when,जब
whenever,जब भी
where,कहाँ पे
whereas,जबकि
whether,या
which,कौन सा
while,जबकि
whisper,फुसफुसाना
white,सफेद
who,कौन
whole,पूरे
whom,किसको
whose,किसका
why,क्यों
wide,चौड़ा
widely,व्यापक रूप से
widespread,बड़े पैमाने पर
wife,बीवी
wild,जंगली
will,मर्जी
willing,इच्छुक
win,जीत
wind,हवा
window,खिड़की
wine,शराब
wing,विंग
winner,विजेता
winter,सर्दी
wipe,पोंछना
wire,तार
wisdom,बुद्धि
wise,ढंग
wish,तमन्ना
with,साथ
withdraw,वापस लेना
within,अंदर
without,बिना
witness,गवाह
woman,महिला
wonder,आश्चर्य
wonderful,प्रशंसनीय
wood,लकड़ी
wooden,लकड़ी का
word,शब्द
work,काम
worker,मज़दूर
working,कार्यरत
works,काम करता है
workshop,कार्यशाला
world,दुनिया
worried,चिंतित
worry,चिंता
worth,कीमत
would,चाहेंगे
wound,घाव
wrap,लपेटना
write,लिखना
writer,लेखक
writing,लिख रहे हैं
wrong,गलत
yard,यार्ड
yeah,हां
year,साल
yell,चीखना
yellow,पीला
yes,हां
yesterday,कल
yet,अभी तक
yield,पैदावार
you,तुम
young,युवा
your,आपका
yours,आपका अपना
yourself,स्वयं
youth,युवा
zone,क्षेत्र